Feature,Importance_Fare,Importance_Pax
log_Dist,0.7402207257253276,0.6244239171021728
HHI_pre,0.14322633747332872,0.1463604352944354
log_Pax_pre,0.1052707897344769,0.201042204257421
N_Carriers_pre,0.011282147066866812,0.028173443345970765
