outcome,theta_0,se_0,p_0,theta_1,se_1,t_1,p_1,n
log(Fare),-0.09571573057897821,0.006116895372970004,3.441028174336007e-55,1.620516107224729,0.13220635651267476,12.257474980557145,1.5319951664948725e-34,3245
log(Pax),0.16873343500587812,0.014077722893960379,4.215129760563818e-33,1.6298223418551425,0.18346075769340986,8.883765456691384,6.463448761499798e-19,3245
