T,propensity_score,logit_ps
1,0.5599549663200581,0.24097929226236864
1,0.5733187326147636,0.2954045263513219
1,0.5112488746330444,0.045003092309819206
1,0.545650372100731,0.183111419331924
1,0.49643997568560133,-0.014240337899263593
1,0.537375796352685,0.1497825874199406
1,0.6825204531424367,0.7653790976728765
1,0.45136567947334566,-0.19515430655069071
1,0.5394588735031604,0.15816439096788143
1,0.5798794173293412,0.32227840910127176
1,0.6123663053449244,0.45726983385218584
1,0.5268938987148849,0.1076795186095219
1,0.5661038117098404,0.26597216629999143
1,0.5342935352914981,0.13738984789852082
1,0.42198278170652576,-0.31463914610345933
1,0.45545822486804377,-0.17864066163496217
1,0.41920409663024477,-0.326041504604086
1,0.5919538148369259,0.3720482494357246
1,0.49825607389585913,-0.006975732703514142
1,0.4109085814569223,-0.36021062114844293
1,0.48698108107531385,-0.052087449052887584
1,0.45309890651582785,-0.1881575314426591
1,0.5752754564830055,0.3034081549460093
1,0.7650917095880794,1.1808005240466448
1,0.520581587895216,0.08237289702679125
1,0.47691572292016665,-0.09240279895780355
1,0.5077685729234253,0.031076792530657735
1,0.47036695739537654,-0.11867124381662625
1,0.5730072126651766,0.29413118258538956
1,0.48723154106191724,-0.05108494242972226
1,0.49328218961462517,-0.026872858612146833
1,0.43395920960134665,-0.2657156008588945
1,0.47433935333291793,-0.10273284526868816
1,0.46543138173620363,-0.13849542244642804
1,0.5180433304308393,0.0722046753912542
1,0.4295433876599593,-0.28371435909964393
1,0.44153535128607274,-0.2349332319626096
1,0.5011384838392497,0.004553943227107045
1,0.6417359329115871,0.5829065675625922
1,0.5719972511403868,0.2900045675392641
1,0.4792348239947201,-0.08310850704106106
1,0.4313037832118836,-0.2765337266411262
1,0.2837508570337277,-0.925931482297313
1,0.39118930915804595,-0.4423157574498519
1,0.48566871637948594,-0.05734084057446876
1,0.4629671000220628,-0.1484033655915136
1,0.5114993876927503,0.046005663383585936
1,0.3049382529461159,-0.8238913795454076
1,0.3884951644271878,-0.4536421398659095
1,0.6052547884489692,0.4274089845801981
1,0.5622665600438471,0.25036590303524536
1,0.44461709851391856,-0.22244432946713713
1,0.565950147366279,0.2653466001426127
1,0.5009944626643393,0.003977855902595384
1,0.4424781944758553,-0.23111043040405502
1,0.5149497160406508,0.05981669331078204
1,0.5133180307607911,0.05328472690683947
1,0.4770665628530249,-0.09179815881763226
1,0.49591551375455356,-0.016338308418193326
1,0.4936810025557889,-0.025277335590370376
1,0.5280284194562888,0.112231333925241
1,0.4703504369660124,-0.11873755859254993
1,0.5167642104357358,0.06708198613295237
1,0.4736985323772457,-0.10530306920925867
1,0.40557177448694975,-0.38230211767166566
1,0.39852199340029715,-0.41162728331740556
1,0.33707140980684697,-0.6763724708440438
1,0.46784895297375856,-0.12878187825823245
1,0.44307837336644834,-0.2286778543578786
1,0.4197816970223962,-0.3236696100133628
1,0.4375608983827402,-0.251066972011921
1,0.44110321289050886,-0.23668592676404837
1,0.4498062635096589,-0.2014534998384053
1,0.43276360556783533,-0.2705845048881671
1,0.4393528150993141,-0.24378903441950997
1,0.4788794755608649,-0.08453239892971219
1,0.3366357121400554,-0.6783229202755156
1,0.4719863817950703,-0.11217194238820706
1,0.6067176324706507,0.4335356511229027
1,0.5310563294411609,0.12438544161096467
1,0.4857536462624215,-0.05700084337253022
1,0.5554096814913283,0.22255278072698065
1,0.5539106517947325,0.21648413113663956
1,0.4692767705318248,-0.12304793679557706
1,0.45887092396792745,-0.16488887913422348
1,0.38701430325964475,-0.4598799507768141
1,0.401481509985764,-0.3992959384589694
1,0.4041522547656338,-0.3881934982175402
1,0.43333734957359543,-0.26824763088293874
1,0.4695964426367781,-0.12176445261318891
1,0.4307155958511118,-0.2789321389183838
1,0.43491046147511797,-0.2618440196436133
1,0.41098588682428777,-0.3598912693339943
1,0.7091914843033087,0.8914605377400536
1,0.524702537930237,0.09889066363066716
1,0.487075402572564,-0.05170990895334451
1,0.558092374514852,0.2334236262849179
1,0.5249974949293611,0.10007341316345938
1,0.4626729116905922,-0.14958666188008843
1,0.5094088204197544,0.037639724886064124
1,0.5044063396915969,0.017625815068930923
1,0.5016996059452518,0.006798449965638399
1,0.5053122887271104,0.021249954509126565
1,0.5413853315644219,0.1659209281239232
1,0.5088191275829121,0.03528016928339519
1,0.49091097719176,-0.036360096545633346
