,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Tau_-6,0.004996568839005647,0.005125286521846903,0.329621708358276,-0.005048992743814282,0.015042130421825575
Tau_-5,0.007430224663892858,0.005067754936788466,0.14260649999752983,-0.0025025750122125347,0.01736302433999825
Tau_-4,0.003137221328387969,0.004863507799906977,0.5188957006252497,-0.006395253959429706,0.012669696616205643
Tau_-3,-0.00598220570053459,0.004754098654003016,0.20827985191866372,-0.0153002390623805,0.0033358276613113204
Tau_-2,0.0005599729801791694,0.0045855856428685315,0.9028077160661974,-0.008427774879843152,0.00954772084020149
Tau_0,-0.011294301186606374,0.004177470297143753,0.0068611719976992,-0.01948214296900813,-0.0031064594042046183
Tau_1,-0.00890621761522246,0.0046069279512568366,0.05321448300588849,-0.017935796399685858,0.0001233611692409379
Tau_2,-0.010607561552034708,0.004828510971597442,0.028035093120220678,-0.02007144305636569,-0.0011436800477037223
Tau_3,-0.018049592952083932,0.00464287245356936,0.00010137604339455208,-0.02714962296107988,-0.008949562943087986
